Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
32,GTD,Mike Skeen,8,01:46.9,14:45.8,Green,Track,25.345,49.882,31.704
47,GTD,Giorgio Sernagiotto,8,01:47.3,14:46.1,Green,Track,25.768,49.848,31.661
39,GTD,Corey Lewis,8,01:47.1,14:47.3,Green,Track,25.268,49.919,31.894
75,GTD,Kenny Habul,8,01:47.6,14:47.8,Green,Track,25.66,49.977,32.01
44,GTD,John Potter,8,01:48.2,14:50.2,Green,Track,25.742,50.312,32.16
16,GTD,Ryan Hardwick,8,01:48.5,14:55.5,Green,Track,25.929,50.279,32.297
71,GTD,Misha Goikhberg,8,01:48.1,14:55.9,Green,Track,25.838,49.979,32.272
19,GTD,Bill Sweedler,8,01:49.1,14:56.8,Green,Track,26.468,50.375,32.218
34,GTD,James Sofronas,8,01:48.9,14:58.7,Green,Track,25.612,50.538,32.799
99,GTD,Nick Boulle,8,01:48.8,14:58.8,Green,Track,25.734,50.393,32.624
27,GTD,Ian James,8,01:48.7,14:59.2,Green,Track,25.995,50.51,32.16
96,GTD,Robby Foley,8,01:48.5,14:59.8,Green,Track,25.654,50.711,32.137
66,GTD,Till Bechtolsheimer,8,01:48.3,15:00.2,Green,Track,25.462,50.669,32.14
42,GTD,Don Yount,8,01:51.3,15:13.5,Green,Track,26.988,51.656,32.624
21,GTD,Luis Perez Companc,8,01:48.8,15:13.6,Green,Track,26.067,50.305,32.465
64,GTD,Ted Giovanis,8,01:54.8,15:43.0,Green,Track,27.783,52.671,34.3
59,GTD,Jon Miller,9,01:47.5,16:22.4,Green,Track,26.054,49.761,31.663
70,GTD,Frederik Schandorff,9,01:47.9,16:26.4,Green,Track,25.972,50.478,31.421
57,GTD,Russell Ward,9,01:48.1,16:27.5,Green,Track,25.755,50.47,31.896
28,GTD,Daniel Morad,9,01:47.8,16:27.8,Green,Track,25.491,50.432,31.874
12,GTD,Frankie Montecalvo,9,01:47.4,16:28.1,Green,Track,25.552,50.198,31.697
98,GTD,David Pittard,9,01:48.1,16:33.4,Green,Track,26.095,50.354,31.627
32,GTD,Mike Skeen,9,01:48.0,16:33.9,Green,Track,25.597,50.783,31.661
47,GTD,Giorgio Sernagiotto,9,01:48.4,16:34.5,Green,Track,25.755,50.338,32.307
39,GTD,Corey Lewis,9,01:47.3,16:34.6,Green,Track,25.382,49.926,32
75,GTD,Kenny Habul,9,01:47.3,16:35.1,Green,Track,25.391,49.852,32.061
44,GTD,John Potter,9,01:48.2,16:38.4,Green,Track,25.679,50.314,32.18
71,GTD,Misha Goikhberg,9,01:48.0,16:43.9,Green,Track,25.832,50.277,31.882
16,GTD,Ryan Hardwick,9,01:49.5,16:45.0,Green,Track,26.029,51.045,32.392
19,GTD,Bill Sweedler,9,01:49.1,16:45.8,Green,Track,25.891,50.777,32.403
34,GTD,James Sofronas,9,01:49.0,16:47.7,Green,Track,25.951,50.417,32.642
99,GTD,Nick Boulle,9,01:49.2,16:48.0,Green,Track,26.191,50.354,32.676
27,GTD,Ian James,9,01:49.8,16:49.1,Green,Track,26.294,50.781,32.759
96,GTD,Robby Foley,9,01:50.0,16:49.8,Green,Track,25.999,51.086,32.953
